Link,Attributes,Image URL,Pricing
https://www.alibaba.com/product-detail/Greatest-Working-Quality-Unisex-Bikes-Entertainment_11000018037826.html?s=p,Fork Material: Contact us | Gears: Contact us | Wheel Size: Contact us | Frame Material: Contact us | Braking System: Contact us | Rim Material: Contact us | Frame Type: Contact us | Place of Origin: Japan | Brand Name: Used Bike | Model Number: P3-06,https://s.alicdn.com/@sc04/kf/Ae3cde8de01704e539bbb58d0c2682a91N.jpg_720x720q50.jpg,N/A
https://www.alibaba.com/product-detail/Stock-High-Quality-26-Inch-Downhill_1601350699191.html,"Frame Material: Steel | Fork Material: aluminum alloy | Fork Suspension: Yes | Braking System: Brake Line | Wheel Size: 26"" | Gears: 6 Speed | Rim Material: Steel | Tire Width: 26*4"" | Place of Origin: Fujian, China | Pedal Type: Bead Pedal | Fork: Suspension Fork | Logo: Customized Logo | Style: Popular | Tire: Air Tyre | Speed: 21/24/27/30-speed | Selling Units:: Single item | Single package size:: 136X19X68 cm | Single gross weight:: 18.000 kg",https://s.alicdn.com/@sc04/kf/Hd39b8a2464cf475cad57b96bc298f9beD.jpg_720x720q50.jpg,Quantity: 1 - 99 pieces | Price: $100.00 | Quantity: 100 - 9999 pieces | Price: $60.00 | Quantity: >= 10000 pieces | Price: $30.00
https://www.alibaba.com/product-detail/2025-NEW-XC-Cheap-Adult-MTB_1601297114943.html,"Frame Material: aluminum alloy | Fork Material: Steel | Fork Suspension: Yes | Braking System: Disc Brake | Wheel Size: 27.5'' | Gears: 24 Speed | Rim Material: aluminum alloy | Tire Width: 27.5*2.125 | Place of Origin: China | Model Number: XCB003 | Brand Name: XC | Frame Type: Hard Frame (Non-rear Damper) | Pedal Type: Ordinary Pedal | Load Capacity: 180KG | Length (m): 185cm | Net Weight: 17KG | Gross Weight: 17.5KG | Product name: Mountain Bike | Color: Customized Color | Size: 27.5*15/27.5*17/27.5*19/29*15/29*17/29*19/29*21 | Brake: Front+Rear Disc Brake | Wheel type: 24'26""27.5""29"" | Fork: Steel Suspension Fork | Derailleur: EF5S1-7 TZ-50 TZ-30 | Shift lever: SHIMANO EF51-7 | Freewheel: 7 Pieces Freewheel | Saddle: Comfortable Colorful Saddle | Selling Units:: Single item | Single package size:: 145X78X20 cm | Single gross weight:: 19.500 kg",https://s.alicdn.com/@sc04/kf/H8c2c24a85f894519b11e4d0341c1fe9dv.jpg_720x720q50.jpg,Quantity: 2 - 199 pieces | Price: $35.00 | Quantity: 200 - 499 pieces | Price: $34.00 | Quantity: 500 - 9999 pieces | Price: $31.00 | Quantity: >= 10000 pieces | Price: $19.00
https://www.alibaba.com/product-detail/Wholesale-21-Speed-20-26-27_1600377931442.html,"Fork Material: Steel | Gears: 21 Speed | Wheel Size: 26"" | Frame Material: Steel | Braking System: Disc Brake | Rim Material: aluminum alloy | Frame Type: Full Shockingproof Frame | Tire Width: 20*2.125"" | Place of Origin: China | Brand Name: SANVEER | Model Number: WDFB010 | Fork Suspension: Yes | Gross Weight: 15.5KG | Net Weight: 16.5KG | Pedal Type: Ordinary Pedal | Length (m): 1.7 | Load Capacity: 150KG | Product name: Electric Folding Bike | USB: Support | Weight: 23KG | Motor Power: 0-35KM | Loading Weight: 150KG | Light: LED Light | Rated Passenger Capacity: 2 Seat | Color: Black/Sliver/Red | Tire: CST | Brake: Disc Brakce | Packaging Details: 1).Individual packaging: poly bag/shrink wrapping/water proof paper; Insert or divide protection
2). Best Quality 5-layers exporting carton or Customized Outer Packaging for Food Delivery Paper Bags;
3). Solid plastic pallet packaging with film wrapping and packaging belt
4). Carton Size: Customized or based on weight and volume. | Port: Guangzhou, Shenzhen, Ningbo, Shanghai Port | Selling Units:: Single item | Single package size:: 137X20X70 cm | Single gross weight:: 16.500 kg | Supply Ability: 500 Piece/Pieces per Day",https://s.alicdn.com/@sc04/kf/Hc3b0a289ec594544864e5256e59956beH.jpg_720x720q50.jpg,Quantity: 1 - 149 pieces | Price: $38.08 | Quantity: 150 - 299 pieces | Price: $33.08 | Quantity: >= 300 pieces | Price: $28.08
https://www.alibaba.com/product-detail/2024-New-Senyi-Newest-26-Full_1601247097510.html,"Frame Material: Carbon Fibre | Fork Material: aluminum alloy | Fork Suspension: Yes | Braking System: Disc Brake | Wheel Size: 26"" | Gears: 24 Speed | Rim Material: aluminum alloy | Tire Width: 26*2.5"" | Place of Origin: Hebei, China | Model Number: ASBK | Brand Name: ASBK | Frame Type: Full Shockingproof Frame | Pedal Type: Ordinary Pedal | Net Weight: 15kg | Gross Weight: 17kg | Type: Mountain Bike | Product name: 26inch mountain bycicle | Color: Blue, white, yellow, black | Frame: aluminium alloy | brand: ASBK | saddle: comfortable | brake: Disc brake | logo: newspeed/OEM | gears: 24 speed | Matrerial: high steel | Selling Units:: Single item | Single package size:: 172X19X75 cm | Single gross weight:: 19.000 kg",https://s.alicdn.com/@sc04/kf/H5cab5df7e0444e58981f55d255703b52L.jpg_720x720q50.jpg,Quantity: 1 - 19 pieces | Price: $128.90 | Quantity: 20 - 499 pieces | Price: $126.00 | Quantity: 500 - 7999 pieces | Price: $76.00 | Quantity: >= 8000 pieces | Price: $26.00
https://www.alibaba.com/product-detail/26-Inch-21-Speed-Variable-Speed_1601289433533.html,"Frame Material: Steel | Fork Material: Steel | Fork Suspension: Yes | Braking System: Disc Brake | Wheel Size: 24""26"" | Gears: 24 27 30 Speed | Rim Material: Steel | Tire Width: 26*4"" | Place of Origin: Jiangsu, China | Model Number: DMT-15 | Brand Name: xht | Frame Type: Full Shockingproof Frame | Pedal Type: Ordinary Pedal | Load Capacity: 200kg | Length (m): 1.7 | Net Weight: 28kg | Product name: Moutain Bike | Color: Black or customized color | MOQ: 1pcs | Material: Steel | Frame: Steel Material | Logo: Customized Logo | Chain: Positioning Chain | Occasion: Off-Road | Selling Units:: Single item | Single package size:: 160X30X80 cm | Single gross weight:: 25.000 kg",https://s.alicdn.com/@sc04/kf/H17bb2c22392d4a4eb7044639f8ebb503k.png_720x720q50.jpg,N/A
https://www.alibaba.com/product-detail/Good-Quality-26-27-5-29_1600849919343.html,"Fork Material: Steel | Gears: Single Speed | Wheel Size: 26"" | Frame Material: Steel | Braking System: Disc Brake | Rim Material: Aluminum | Frame Type: Hard Frame (Non-rear Damper) | Application: street | Place of Origin: Zhejiang, China | Brand Name: HARPER | Model Number: 2607RSC | Fork Suspension: NO | Gross Weight: 16 KGS | Net Weight: 13 KGS | Pedal Type: Ordinary Pedal | Length (m): 22 inch | Load Capacity: 120 KGS | Size: 26 inch | Material: Hi-Ten Frame and Fork | Hub: Sealed bearings alloy hubs, rear integrated 9T | Tires and Tubes: 26x3.00 | Bottom Bracket: US BB | Chainwheel and Crank: 36T steel chainwheel and 170mm turbular cranks | Chains: KMC Z410 CP | Brakes Sets: Disc Brakes | Saddle: BMX design | Packaging Details: Box packing | Port: NINGBO | Supply Ability: 500 Piece/Pieces per Day",https://s.alicdn.com/@sc04/kf/H95b8c78f3a2c490fbaa84561615e3bb7I.jpg_720x720q50.jpg,Quantity: >= 100 pieces | Price: $100.00
https://www.alibaba.com/product-detail/OEM-Cool-Adults-12-Speed-Mountain_1601238917597.html?s=p,"Frame Material: aluminum alloy | Fork Material: aluminum alloy | Fork Suspension: Yes | Braking System: Hydraulic Disc Brake (Hydraulic Brake Pad) | Wheel Size: 29"" | Gears: 12 Speed | Rim Material: aluminum alloy | Tire Width: 26*2.6"" | Place of Origin: Jiangsu, China | Model Number: FOXCAT | Brand Name: FOXCAT | Frame Type: Soft-tail Frame | Pedal Type: Ordinary Pedal | Load Capacity: 150KG | Length (m): 1.8 | Net Weight: 14 KGS | Gross Weight: 16 KGS | Product name: Full Suspension Mountain bike | MOQ: 1 Piece | Door To Door Delivery Service: available | Frame Size: 27.5/ 29"" | Frame Material: Aluminum Alloy | Frame Type: Down Hill Mountain Bike Frame | Front Fork Travel Length: 120-203 mm | Rear Shock Eye To Eye Length: 230 | Rear Shock Travel Length: 55/60/65 mm | Max Loading: 150 KGS | Selling Units:: Single item | Single package size:: 165X31X84 cm | Single gross weight:: 17.000 kg",https://s.alicdn.com/@sc04/kf/H97d412e382b447819a8d8671ebdf6221D.jpg_720x720q50.jpg,N/A
https://www.alibaba.com/product-detail/HOT-SALE-Mountain-Bike-26-Inch_1601239546522.html,"Frame Material: Steel | Fork Material: Steel | Fork Suspension: Yes | Braking System: Disc Brake | Wheel Size: 26"" | Gears: 21 Speed | Rim Material: aluminum alloy | Tire Width: 2.125 | Place of Origin: China | Model Number: MT-ZP01 | Frame Type: Full Shockingproof Frame | Pedal Type: Ordinary Pedal | Load Capacity: 120kg | Net Weight: 12KGS | Gross Weight: 13KGS | Product name: Moutain Bike | Color: Customized Color | Frame: Steel Material | Brake: Disc Brake Bicycle | Logo: Customized Logo",https://s.alicdn.com/@sc04/kf/H06b696685fff42cda7198630fe40915a1.jpg_720x720q50.jpg,Quantity: 1 - 9 sets | Price: $40.00 | Quantity: 10 - 49 sets | Price: $39.00 | Quantity: >= 50 sets | Price: $38.00
https://www.alibaba.com/product-detail/Hot-Sale-12-16-20-Inch_1601241168926.html,"Fork Material: Steel | Gears: Single Speed | Wheel Size: 12"" 14"" 16"" 18"" | Frame Material: Steel | Braking System: Front caliper and rear band brake | Rim Material: aluminum alloy | Training Wheels: Yes | Frame Type: Hard Frame (Non-rear Damper) | Place of Origin: Hebei, China | Brand Name: Xthang | Model Number: XYS | Fork Suspension: NO | Gross Weight: 14kg | Net Weight: 13kg | Pedal Type: Ordinary Pedal | Length (m): 1.2 | Load Capacity: 120kg | Product name: Kids Bike Children Bicycle | Children bike Wheel Size: 12"" 14"" 16"" 18"" 20"" | OEM/ODM: 20+ Years Experience | Children bike Color: Blue,Red,White,Black,Pink | Children bike Type: Sports Children Bike | Children bike Age: 3-12 Years Child | Children bike Frame Material: Steel | Children bike Fork: Aluminum Alloy Fork | Children bike Seat: NM Alloy BMX Bicycle | Children bike Package: 85%SKD 50%SKD 35%SKD 100%CKD | Selling Units:: Single item | Single package size:: 130X20X60 cm | Single gross weight:: 14.000 kg",https://s.alicdn.com/@sc04/kf/Hdf6a86b3645d46cc8d6fb85f941de220g.jpg_720x720q50.jpg,Quantity: 1 - 999 pieces | Price: $15.90 | Quantity: >= 1000 pieces | Price: $11.90
